category,group_id,view,region_id,x_min,y_min,x_max,y_max,centroid_x,centroid_y,area_pixels,area_fraction,threshold_source,image_path,mask_path
transistor1,transistor1::transistor1_0001_NG_BX,C1,1,95,106,193,217,143.56919643,161.15784439,6272,0.09570312,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C1,2,204,159,215,171,209.46218487,165.24369748,119,0.00181580,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C1,3,188,169,197,175,192.24561404,171.96491228,57,0.00086975,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C1,4,183,187,225,231,200.99695586,206.31659056,1314,0.02005005,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C1_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C2,1,0,91,76,164,36.35608384,127.61503067,3912,0.05969238,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C2_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C2_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C3,1,125,59,172,110,148.20195775,84.17568264,1941,0.02961731,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C3_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C3_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C4,1,127,0,219,52,172.40942797,21.82176907,3776,0.05761719,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C4,2,184,97,255,198,225.49584794,149.06477210,5419,0.08268738,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C4,3,92,135,114,154,104.13218391,144.74425287,348,0.00531006,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C4_20230923194347.png
transistor1,transistor1::transistor1_0001_NG_BX,C5,1,85,146,130,194,106.90528129,170.09357061,1742,0.02658081,train_normal,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C5_20230923194347.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/transistor1/NG/BX/S0001/transistor1_0001_NG_BX_C5_20230923194347.png
