category,record_category,split,meta_prefix,normal_class,group_id,subject_id,sample_key,sample_number,view,camera_id,anomaly_class,metadata_anomaly_class,filename_anomaly_class,metadata_label_matches_filename,view_label,product_label,image_suffix,mask_suffix,image_exists,mask_declared,mask_exists,mask_correspondence,image_category_match,image_label_match,image_path,mask_path
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_HS,pcb::pcb_0001_NG_HS,pcb_0001_NG_HS,0001,C1,C1,NG_HS,HS,NG_HS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C1_20231028093757.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C1_20231028093757.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_HS,pcb::pcb_0001_NG_HS,pcb_0001_NG_HS,0001,C2,C2,NG_HS,HS,NG_HS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C2_20231028093757.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C2_20231028093757.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_HS,pcb::pcb_0001_NG_HS,pcb_0001_NG_HS,0001,C3,C3,NG_HS,HS,NG_HS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C3_20231028093757.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C3_20231028093757.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_HS,pcb::pcb_0001_NG_HS,pcb_0001_NG_HS,0001,C4,C4,NG_HS,HS,NG_HS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C4_20231028093757.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C4_20231028093757.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_HS,pcb::pcb_0001_NG_HS,pcb_0001_NG_HS,0001,C5,C5,NG_HS,HS,NG_HS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C5_20231028093757.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/HS/S0001/pcb_0001_NG_HS_C5_20231028093757.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_QS,pcb::pcb_0001_NG_QS,pcb_0001_NG_QS,0001,C1,C1,NG_QS,QS,NG_QS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C1_20231028094158.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C1_20231028094158.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_QS,pcb::pcb_0001_NG_QS,pcb_0001_NG_QS,0001,C2,C2,NG_QS,QS,NG_QS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C2_20231028094158.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C2_20231028094158.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_QS,pcb::pcb_0001_NG_QS,pcb_0001_NG_QS,0001,C3,C3,NG_QS,QS,NG_QS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C3_20231028094158.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C3_20231028094158.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_QS,pcb::pcb_0001_NG_QS,pcb_0001_NG_QS,0001,C4,C4,NG_QS,QS,NG_QS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C4_20231028094158.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C4_20231028094158.png
pcb,pcb,test,pcb/,OK,pcb::pcb_0001_NG_QS,pcb::pcb_0001_NG_QS,pcb_0001_NG_QS,0001,C5,C5,NG_QS,QS,NG_QS,True,1,1,.jpg,.png,True,True,True,True,True,True,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C5_20231028094158.jpg,/content/realiad_true_multiview_patchcore/data/Real-IAD/realiad_256/pcb/NG/QS/S0001/pcb_0001_NG_QS_C5_20231028094158.png
